Nouns,Adjectives,Verbs,Adverbs
"ability, disability, inability","able, unable, disabled","enable, disable",ably
acceptance,"acceptable, unacceptable, accepted",accept,"acceptably,unacceptably"
accident,accidental,,accidentally
"accuracy, inaccuracy","accurate, inaccurate",,"accurately, inaccurately"
"accusation, the accused, accuser",accusing,accuse,accusingly
"achievement, achiever",achievable,achieve,
"act, action, inaction, interaction,
reaction, transaction",acting,act,
"activity, inactivity","active, inactive, interactive, proactive",activate,actively
addition,additional,add,additionally
"admiration, admirer",admirable,admire,admirably
"advantage, disadvantage","advantageous, disadvantaged",,advantageously
"advertisement, advertiser, advertising",,advertise,
"advice, adviser","advisable, inadvisable, advisory",advise,
"agreement, disagreement",agreeable,"agree, disagree",agreeably
aim,aimless,aim,aimlessly
amazement,"amazed, amazing",amaze,amazingly
anger,angry,anger,angrily
"announcement, announcer",unannounced,announce,unannounced
"appearance, disappearance, reappearance",,"appear, disappear, reappear",
"applicant, application","applicable, applied",apply,
appreciation,"appreciable, appreciative",appreciate,appreciatively
"approval, disapproval","approving, disapproving","approve, disapprove",approvingly
approximation,approximate,approximate,approximately
argument,"arguable, argumentative",argue,arguably
arrangement,,"arrange, rearrange",
"art, artist, artistry",artistic,,artistically
shame,"ashamed, unashamed, shameful,
shameless",shame,"shamefully, shamelessly"
attachment,"attached, unattached, detachable,
detached","attach, detach",
"attack, counter-attack, attacker",,"attack, counter-attack",
attention,"attentive, inattentive",attend,attentively
"attraction, attractiveness","attractive, unattractive",attract,attractively
"authority, authorization","authoritarian, authoritative, unauthorized",authorize,
availability,"available, unavailable",,
avoidance,"avoidable, unavoidable",avoid,
awareness,"aware, unaware",,unawares
"base, the basics, basis","baseless, basic",base,basically
bearer,"bearable, unbearable",bear,
"beat, beating","unbeatable, unbeaten",beat,
"beauty, beautician",beautiful,,beautifully
"beginner, beginning",,begin,
"behaviour/US behavior, misbehaviour/US misbehavior",behavioural/US behavioral,"behave, misbehave",
"belief, disbelief","believable, unbelievable","believe, disbelieve",unbelievably
"block, blockage","blocked, unblocked","block, unblock",
"blood, bleeding","bloodless, bloody",bleed,
"the boil, boiler",boiling,boil,
"bore, boredom","bored, boring",bore,boringly
"break, outbreak, breakage","unbreakable, broken, unbroken",break,
"breath, breather, breathing",breathless,breathe,breathlessly
"brother, brotherhood",brotherly,,
"build, builder, building",,"build, rebuild",
"burn, burner","burning, burnt",burn,
burial,buried,bury,
"calculation, calculator","incalculable, calculated, calculating",calculate,
"calm, calmness",calm,calm,calmly
capability,"capable, incapable",,capably
